nom,couleur,prix,collection,categorie,couleur_generique,matiere_principale,type_matiere_principal
pantalon coupe décontractée en viscose et chanvre,blanc cassé,,homme,pantalon,blanc/beige,viscose,fibre artificielle
lunettes de soleil ovales,marron,,homme,lunettes,marron,acier inoxydable,autres
polo piqué regular fit,bleu roi,,homme,polo,bleu,coton,fibre naturelle végétale
pantalon relaxed fit viscose lin ceinture,noir,,homme,pantalon,noir/gris,viscose,fibre artificielle
chemise relaxed fit à imprimé géométrique,tuile,,homme,chemise,autres,coton,fibre naturelle végétale
chemise relaxed fit viscose - chanvre,blanc cassé,,homme,chemise,blanc/beige,viscose,fibre artificielle
surchemise à pièces étoiles,bleu encre,,homme,surchemise,bleu,coton,fibre naturelle végétale
chemise regular fit 100% lin,marron chiné,,homme,chemise,marron,lin,fibre naturelle végétale
pantalon regular fit viscose - coton,blanc cassé,,homme,pantalon,blanc/beige,viscose,fibre artificielle
chaussettes cannelées,jaune,,homme,chaussettes,jaune/orange,coton,fibre naturelle végétale
débardeur en maille imprimé lavé,noir,,homme,débardeur,noir/gris,coton,fibre naturelle végétale
t-shirt regular fit jacquard à rayures,blanc-orange,,homme,t-shirt,blanc/beige,coton,fibre naturelle végétale
blazer smoking à revers châle,noir,,homme,blazer,noir/gris,polyester,fibre synthétique
pantalon relaxed fit viscose - lin ceinture,écru,,homme,pantalon,blanc/beige,viscose,fibre artificielle
lunettes de soleil métalliques carrées,argent,,homme,lunettes,noir/gris,acier inoxydable,autres
chemise à carreaux lin et coton,grisâtre,,homme,chemise,noir/gris,coton,fibre naturelle végétale
bermuda regular fit à plis,blanc cassé,,homme,bermuda,blanc/beige,coton,fibre naturelle végétale
ceinture en soie pour smoking,noir,,homme,ceinture,noir/gris,soie (de mûrier),fibre naturelle animale
pantalon regular fit à plis smoking,noir,,homme,pantalon,noir/gris,laine,fibre naturelle animale
chemise relaxed fit texte pièces,écru,,homme,chemise,blanc/beige,coton,fibre naturelle végétale
lunettes de soleil métalliques ovales,argent mat,,homme,lunettes,noir/gris,acier inoxydable,autres
chemise relaxed fit à imprimé patchwork,multicolore,,homme,chemise,motif/multicolore,viscose,fibre artificielle
bermuda en jean relaxed fit plisse,bleu,,homme,bermuda,bleu,coton,fibre naturelle végétale
blouson délavé coupe décontractée,bleu encre,,homme,blouson,bleu,coton,fibre naturelle végétale
sandales style pêcheur en cuir,beige,,homme,sandales,blanc/beige,cuir de vache,cuir
t-shirt relaxed fit à imprimé graphique,bordeaux,,homme,t-shirt,rouge,coton,fibre naturelle végétale
bandana à imprimé paisley,bleu,,homme,bandana,bleu,coton,fibre naturelle végétale
chemise fluide soft,bleu marine,,homme,chemise,bleu,modal,fibre artificielle
chemise regular fit 100% lin,blanc,,homme,chemise,blanc/beige,lin,fibre naturelle végétale
