url,etat,matiere,couleur,categorie,likes,prix,prix_total,collection
https://www.vinted.fr/items/8873394100-pantaloncini-brillantinati?referrer=catalog,Neuf sans étiquette,Coton,Argenté,Shorts,20,"10,00 €","11,20 €",garcon
https://www.vinted.fr/items/8905275844-pantalon-motif-elephants-txl?referrer=catalog,Neuf sans étiquette,Polyester,"Blanc, Noir",Pantalons et leggings,2,"3,00 €","3,85 €",garcon
https://www.vinted.fr/items/8822412852-jogging-zara-taille-s?referrer=catalog,Neuf avec étiquette,Coton,Blanc,Vêtements de sport,7,"18,00 €","19,63 €",garcon
https://www.vinted.fr/items/8903147051-jeans?referrer=catalog,Neuf sans étiquette,Coton,Bleu clair,Jeans,53,"5,00 €","5,95 €",garcon
https://www.vinted.fr/items/8881767728-zara-shoes?referrer=catalog,Très bon état,Cuir,Noir,Chaussures,198,"25,00 €","27,10 €",garcon
https://www.vinted.fr/items/8905299891-veste-en-cuire-zara?referrer=catalog,Bon état,,Noir,Manteaux et vestes,5,"10,00 €","11,20 €",garcon
https://www.vinted.fr/items/8902183511-ensemble-beige-zara-jupe-et-top-s?referrer=catalog,Neuf sans étiquette,,Beige,Costumes et tenues particulières,22,"15,00 €","16,38 €",garcon
https://www.vinted.fr/items/8854550657-robe-courte-en-lin-zara?referrer=catalog,Très bon état,Lin,Crème,Robes,43,"7,00 €","8,05 €",garcon
https://www.vinted.fr/items/8823810850-pantalon-vaquero-nuevo-sin-estrenar-porque-me-queda-grande?referrer=catalog,Neuf sans étiquette,Coton,Bleu clair,Jeans,2,"19,00 €","20,65 €",garcon
https://www.vinted.fr/items/8861608504-jeans-bianco-zara?referrer=catalog,Neuf avec étiquette,Coton,"Blanc, Crème",Jeans,92,"18,00 €","19,60 €",garcon
https://www.vinted.fr/items/8899588987-bomber?referrer=catalog,Neuf avec étiquette,,Marron,Manteaux et vestes,66,"45,00 €","48,50 €",garcon
https://www.vinted.fr/items/8902226462-elegante-zara-blazerjas-in-camelkleur?referrer=catalog,Neuf sans étiquette,"Polyester, Viscose",Abricot,Blazers et tailleurs,52,"20,00 €","21,70 €",garcon
https://www.vinted.fr/items/8822303688-tee-shirt-fleurs-reliefs-oversize?referrer=catalog,Très bon état,Coton,Rose,Hauts et t-shirts,12,"4,99 €","5,51 €",garcon
https://www.vinted.fr/items/8845733630-zara-obertreil?referrer=catalog,Bon état,"Polyester, Élasthanne",Noir,Hauts et t-shirts,5,"5,00 €","5,95 €",garcon
https://www.vinted.fr/items/8862577638-jupe-longue-zara?referrer=catalog,Très bon état,Coton,Bleu,Jupes,37,"9,00 €","9,98 €",garcon
https://www.vinted.fr/items/8699833161-petit-haut-cours?referrer=catalog,Très bon état,Lin,"Noir, Blanc",Hauts et t-shirts,3,"10,00 €","11,05 €",garcon
https://www.vinted.fr/items/8890966352-burgundy-zara-ballet-flats-eu39?referrer=catalog,Très bon état,Cuir synthétique,Bordeaux,Chaussures,35,"25,00 €","27,23 €",garcon
https://www.vinted.fr/items/8825796633-veste-zara?referrer=catalog,Neuf avec étiquette,Polyester,Gris,Manteaux et vestes,77,"32,00 €","34,30 €",garcon
https://www.vinted.fr/items/8905380008-chemise-zara?referrer=catalog,Très bon état,Coton,Rose,Hauts et t-shirts,10,"8,00 €","8,78 €",garcon
https://www.vinted.fr/items/8872670828-cardigan-zara-simple-taille-m-tres-bon-etat?referrer=catalog,Très bon état,"Coton, Polyester",Gris,Sweats et sweats à capuche,3,"6,00 €","7,00 €",garcon
https://www.vinted.fr/items/8905309779-body-kaki?referrer=catalog,Neuf sans étiquette,Polyester,Kaki,Hauts et t-shirts,8,"4,00 €","4,90 €",garcon
https://www.vinted.fr/items/8841673198-sfiziosa-gonna-corta-nera-taglia-m-brand-zara-basic?referrer=catalog,Très bon état,Polyester,"Noir, Beige",Jupes,3,"6,00 €","7,00 €",garcon
https://www.vinted.fr/items/8903934376-pull-zara?referrer=catalog,Neuf sans étiquette,,"Gris, Argenté",Sweats et sweats à capuche,17,"10,00 €","11,20 €",garcon
https://www.vinted.fr/items/8846778027-tee-shirt-top-cache-coeur-gris-fonce-zara-femme-taille-s-neuf?referrer=catalog,Neuf avec étiquette,"Polyester, Élasthanne",Gris,Hauts et t-shirts,117,"16,00 €","17,50 €",garcon
https://www.vinted.fr/items/8903714384-veste-manteau-ete?referrer=catalog,Neuf sans étiquette,"Coton, Lin",Crème,Manteaux et vestes,14,"10,00 €","11,05 €",garcon
