etat,matiere,couleur,categorie,likes,prix,prix_total,collection,prix_moyen_zara,decote
neuf avec étiquette,fibres naturelles végétales,motif/multicolore,accessoires,46.0,6.0,6.61,fille,9.95,0.3969849246231155
très bon état,fibres synthétiques,blanc/beige,manteaux et vestes,9.0,5.0,5.95,fille,31.55,0.8415213946117275
neuf avec étiquette,fibres synthétiques,blanc/beige,pantalons et leggings,15.0,28.0,30.1,fille,22.616666666666664,-0.23802505526897577
neuf avec étiquette,fibres naturelles végétales,bleu,manteaux et vestes,20.0,45.0,48.5,fille,35.95,-0.25173852573018074
très bon état,autres,rouge,chaussures,35.0,25.0,27.23,fille,15.95,-0.567398119122257
très bon état,autres,blanc/beige,hauts et t-shirts,35.0,6.0,6.61,fille,11.283333333333331,0.46824224519940905
neuf avec étiquette,fibres naturelles végétales,motif/multicolore,shorts,42.0,13.0,14.35,fille,8.95,-0.45251396648044695
très bon état,fibres naturelles végétales,bleu,jeans,4.0,8.0,9.1,fille,19.85909090909091,0.5971618219272145
très bon état,fibres synthétiques,noir/gris,jupes,38.0,5.0,5.95,fille,22.95,0.7821350762527233
très bon état,fibres naturelles végétales,vert,robes,5.0,8.0,9.1,fille,27.95,0.7137745974955277
neuf sans étiquette,fibres naturelles végétales,blanc/beige,pantalons et leggings,36.0,10.0,11.2,fille,22.616666666666664,0.5578481945467944
neuf sans étiquette,fibres synthétiques,rouge,robes,95.0,45.0,47.95,fille,27.95,-0.6100178890876566
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,139.0,17.0,18.55,fille,11.283333333333331,-0.5066469719350077
neuf avec étiquette,autres,motif/multicolore,robes,156.0,60.0,63.7,fille,27.95,-1.146690518783542
très bon état,cuir,motif/multicolore,manteaux et vestes,49.0,35.0,38.08,fille,31.55,-0.10935023771790808
neuf sans étiquette,fibres naturelles végétales,blanc/beige,sacs,17.0,8.0,8.78,fille,45.95,0.8258977149075082
neuf avec étiquette,fibres synthétiques,motif/multicolore,robes,22.0,20.0,21.7,fille,27.95,0.2844364937388193
neuf avec étiquette,cuir,motif/multicolore,chaussures,42.0,35.0,37.45,fille,39.95,0.12390488110137676
très bon état,autres,noir/gris,chaussures,3.0,20.0,21.7,fille,15.95,-0.25391849529780575
neuf avec étiquette,autres,noir/gris,manteaux et vestes,4.0,35.0,37.45,fille,31.55,-0.10935023771790808
neuf sans étiquette,cuir,jaune/orange,chaussures,54.0,13.0,14.35,fille,39.95,0.67459324155194
neuf avec étiquette,fibres artificielles,motif/multicolore,robes,50.0,20.0,21.7,fille,27.95,0.2844364937388193
très bon état,fibres naturelles végétales,motif/multicolore,manteaux et vestes,41.0,24.0,26.03,fille,31.55,0.23930269413629157
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,53.0,6.0,7.0,fille,9.95,0.3969849246231155
très bon état,fibres naturelles végétales,blanc/beige,vêtements de sport,27.0,11.0,12.25,fille,19.85909090909091,0.44609750514991986
très bon état,fibres naturelles végétales,motif/multicolore,sweats et sweats à capuche,0.0,20.0,21.7,fille,23.28333333333333,0.14101646385110944
neuf sans étiquette,autres,motif/multicolore,pantalons et leggings,9.0,2.0,2.8,fille,22.95,0.9128540305010893
très bon état,fibres naturelles végétales,motif/multicolore,sweats et sweats à capuche,37.0,4.0,4.9,fille,23.28333333333333,0.8282032927702219
très bon état,fibres naturelles végétales,motif/multicolore,pantalons et leggings,106.0,30.0,32.2,fille,22.95,-0.30718954248366015
très bon état,autres,bleu,jeans,5.0,10.0,11.2,fille,19.85909090909091,0.4964522774090181
très bon état,fibres synthétiques,vert,pantalons et leggings,8.0,7.0,8.05,fille,25.95,0.7302504816955684
neuf avec étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,62.0,25.0,27.23,fille,11.283333333333331,-1.215657311669129
très bon état,fibres artificielles,motif/multicolore,robes,57.0,20.0,21.7,fille,27.95,0.2844364937388193
neuf avec étiquette,cuir,motif/multicolore,chaussures,13.0,79.99,84.69,fille,39.95,-1.0022528160200248
neuf avec étiquette,fibres naturelles végétales,motif/multicolore,autres,8.0,40.0,42.7,fille,7.283333333333332,-4.491990846681923
très bon état,fibres naturelles végétales,vert,manteaux et vestes,77.0,54.0,58.69,fille,29.95,-0.8030050083472455
très bon état,autres,marron,manteaux et vestes,27.0,30.0,32.45,fille,31.55,0.04912836767036455
neuf sans étiquette,fibres synthétiques,jaune/orange,blazers et tailleurs,52.0,20.0,21.7,fille,19.85909090909091,-0.007095445181963811
neuf sans étiquette,autres,motif/multicolore,robes,41.0,27.0,29.05,fille,27.95,0.03398926654740608
très bon état,fibres synthétiques,bleu,pantalons et leggings,27.0,6.0,6.77,fille,22.616666666666664,0.7347089167280766
très bon état,cuir,marron,blazers et tailleurs,20.0,100.0,107.35,fille,19.85909090909091,-4.035477225909819
très bon état,fibres naturelles végétales,motif/multicolore,robes,12.0,25.0,26.95,fille,27.95,0.10554561717352418
neuf sans étiquette,fibres artificielles,motif/multicolore,robes,22.0,24.0,26.03,fille,27.95,0.1413237924865831
très bon état,autres,noir/gris,manteaux et vestes,17.0,24.0,26.03,fille,31.55,0.23930269413629157
neuf avec étiquette,fibres naturelles végétales,rouge,robes,40.0,17.0,18.55,fille,27.95,0.39177101967799643
neuf avec étiquette,fibres artificielles,blanc/beige,pantalons et leggings,14.0,28.0,30.1,fille,22.616666666666664,-0.23802505526897577
très bon état,fibres synthétiques,bleu,sweats et sweats à capuche,6.0,3.0,3.36,fille,23.28333333333333,0.8711524695776665
très bon état,autres,vert,robes,53.0,11.0,12.25,fille,27.95,0.6064400715563506
très bon état,fibres synthétiques,motif/multicolore,pantalons et leggings,14.0,6.0,7.0,fille,22.95,0.738562091503268
neuf avec étiquette,fibres synthétiques,motif/multicolore,robes,7.0,18.0,19.61,fille,27.95,0.3559928443649374
neuf sans étiquette,fibres naturelles végétales,vert,manteaux et vestes,97.0,70.0,76.05,fille,29.95,-1.337228714524207
très bon état,fibres synthétiques,rose/violet,hauts et t-shirts,8.0,3.0,3.85,fille,22.95,0.869281045751634
neuf sans étiquette,autres,marron,chaussures,50.0,15.0,16.45,fille,15.95,0.059561128526645746
neuf sans étiquette,fibres naturelles végétales,bleu,jeans,7.0,8.0,8.78,garcon,,
neuf sans étiquette,fibres synthétiques,noir/gris,hauts et t-shirts,8.0,5.0,5.95,garcon,,
très bon état,autres,jaune/orange,combinaisons et combishorts,21.0,58.0,61.6,garcon,,
neuf sans étiquette,fibres naturelles végétales,noir/gris,shorts,20.0,10.0,11.2,garcon,,
neuf sans étiquette,fibres synthétiques,motif/multicolore,pantalons et leggings,2.0,3.0,3.85,garcon,,
neuf avec étiquette,fibres naturelles végétales,blanc/beige,vêtements de sport,7.0,18.0,19.63,garcon,,
neuf sans étiquette,fibres naturelles végétales,bleu,jeans,53.0,5.0,5.95,garcon,,
très bon état,cuir,noir/gris,chaussures,198.0,25.0,27.1,garcon,,
bon état,autres,noir/gris,manteaux et vestes,5.0,10.0,11.2,garcon,,
neuf sans étiquette,autres,blanc/beige,costumes et tenues particulières,22.0,15.0,16.38,garcon,,
très bon état,fibres naturelles végétales,blanc/beige,robes,43.0,7.0,8.05,garcon,,
neuf sans étiquette,fibres naturelles végétales,bleu,jeans,2.0,19.0,20.65,garcon,,
neuf avec étiquette,fibres naturelles végétales,motif/multicolore,jeans,92.0,18.0,19.6,garcon,,
neuf avec étiquette,autres,marron,manteaux et vestes,66.0,45.0,48.5,garcon,,
neuf sans étiquette,fibres synthétiques,jaune/orange,blazers et tailleurs,52.0,20.0,21.7,garcon,,
très bon état,fibres naturelles végétales,rose/violet,hauts et t-shirts,12.0,4.99,5.51,garcon,,
bon état,fibres synthétiques,noir/gris,hauts et t-shirts,5.0,5.0,5.95,garcon,,
très bon état,fibres naturelles végétales,bleu,jupes,37.0,9.0,9.98,garcon,,
très bon état,fibres naturelles végétales,motif/multicolore,hauts et t-shirts,3.0,10.0,11.05,garcon,,
très bon état,autres,rouge,chaussures,35.0,25.0,27.23,garcon,,
neuf avec étiquette,fibres synthétiques,noir/gris,manteaux et vestes,77.0,32.0,34.3,garcon,,
très bon état,fibres naturelles végétales,rose/violet,hauts et t-shirts,10.0,8.0,8.78,garcon,,
très bon état,fibres naturelles végétales,noir/gris,sweats et sweats à capuche,3.0,6.0,7.0,garcon,,
neuf sans étiquette,fibres synthétiques,vert,hauts et t-shirts,8.0,4.0,4.9,garcon,,
très bon état,fibres synthétiques,motif/multicolore,jupes,3.0,6.0,7.0,garcon,,
neuf sans étiquette,autres,motif/multicolore,sweats et sweats à capuche,17.0,10.0,11.2,garcon,,
neuf avec étiquette,fibres synthétiques,noir/gris,hauts et t-shirts,117.0,16.0,17.5,garcon,,
neuf sans étiquette,fibres naturelles végétales,blanc/beige,manteaux et vestes,14.0,10.0,11.05,garcon,,
neuf avec étiquette,fibres naturelles végétales,bleu,manteaux et vestes,20.0,45.0,48.5,garcon,,
très bon état,fibres synthétiques,noir/gris,jupes,38.0,5.0,5.7,garcon,,
neuf sans étiquette,fibres synthétiques,blanc/beige,sweats et sweats à capuche,10.0,5.0,5.53,garcon,,
très bon état,fibres naturelles végétales,motif/multicolore,sweats et sweats à capuche,37.0,4.0,4.9,garcon,,
neuf sans étiquette,fibres synthétiques,vert,pantalons et leggings,14.0,25.0,26.95,garcon,,
très bon état,fibres naturelles végétales,bleu,hauts et t-shirts,11.0,15.0,16.45,garcon,,
bon état,autres,vert,manteaux et vestes,5.0,6.0,7.0,garcon,,
neuf avec étiquette,cuir,marron,chaussures,118.0,60.0,64.55,garcon,,
très bon état,autres,motif/multicolore,sweats et sweats à capuche,11.0,9.0,9.98,garcon,,
neuf sans étiquette,fibres naturelles végétales,bleu,combinaisons et combishorts,13.0,10.0,11.2,garcon,,
très bon état,fibres naturelles végétales,motif/multicolore,shorts,4.0,5.0,5.7,garcon,,
neuf sans étiquette,autres,motif/multicolore,pantalons et leggings,16.0,10.0,11.2,garcon,,
très bon état,fibres synthétiques,rose/violet,hauts et t-shirts,8.0,3.0,3.85,garcon,,
très bon état,autres,blanc/beige,hauts et t-shirts,35.0,6.0,6.61,garcon,,
neuf avec étiquette,cuir,noir/gris,chaussures,4.0,50.0,53.2,garcon,,
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,139.0,17.0,18.55,garcon,,
très bon état,fibres synthétiques,vert,pantalons et leggings,8.0,7.0,8.05,garcon,,
neuf avec étiquette,fibres synthétiques,motif/multicolore,robes,23.0,20.0,21.7,garcon,,
très bon état,fibres synthétiques,noir/gris,pantalons et leggings,17.0,10.0,11.05,garcon,,
très bon état,fibres naturelles végétales,bleu,jeans,9.0,6.0,7.0,garcon,,
très bon état,cuir,motif/multicolore,manteaux et vestes,49.0,35.0,37.45,garcon,,
très bon état,fibres naturelles végétales,blanc/beige,vêtements de sport,29.0,11.0,12.04,garcon,,
très bon état,autres,noir/gris,chaussures,3.0,20.0,21.8,garcon,,
neuf avec étiquette,cuir,motif/multicolore,chaussures,42.0,35.0,38.08,garcon,,
très bon état,fibres synthétiques,motif/multicolore,sweats et sweats à capuche,9.0,9.0,10.15,garcon,,
très bon état,fibres synthétiques,bleu,sweats et sweats à capuche,6.0,3.0,3.56,garcon,,
très bon état,fibres synthétiques,bleu,pantalons et leggings,27.0,6.0,6.77,garcon,,
très bon état,fibres naturelles végétales,motif/multicolore,manteaux et vestes,41.0,24.0,25.9,garcon,,
neuf avec étiquette,fibres synthétiques,marron,accessoires,24.0,5.0,5.7,garcon,,
neuf avec étiquette,autres,motif/multicolore,robes,156.0,60.0,63.7,garcon,,
très bon état,autres,jaune/orange,hauts et t-shirts,8.0,8.5,9.63,garcon,,
neuf sans étiquette,autres,marron,chaussures,51.0,15.0,16.38,garcon,,
neuf avec étiquette,fibres synthétiques,blanc/beige,lingerie et pyjamas,30.0,15.0,16.45,garcon,,
neuf avec étiquette,fibres synthétiques,motif/multicolore,robes,7.0,18.0,19.6,garcon,,
très bon état,fibres naturelles végétales,rouge,robes,28.0,26.0,28.0,garcon,,
très bon état,fibres naturelles végétales,motif/multicolore,sweats et sweats à capuche,0.0,20.0,21.8,garcon,,
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,13.0,12.0,13.12,garcon,,
neuf avec étiquette,fibres naturelles végétales,rouge,robes,41.0,17.0,18.55,garcon,,
très bon état,fibres naturelles végétales,motif/multicolore,robes,12.0,25.0,27.1,garcon,,
neuf avec étiquette,autres,noir/gris,manteaux et vestes,4.0,35.0,37.45,garcon,,
très bon état,fibres synthétiques,motif/multicolore,pantalons et leggings,14.0,6.0,7.0,garcon,,
neuf avec étiquette,cuir,motif/multicolore,chaussures,13.0,79.99,84.69,garcon,,
très bon état,fibres naturelles végétales,rouge,hauts et t-shirts,33.0,3.0,3.85,garcon,,
très bon état,fibres naturelles végétales,bleu,jeans,16.0,3.0,3.56,garcon,,
neuf avec étiquette,cuir,motif/multicolore,chaussures,54.0,30.0,32.2,garcon,,
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,8.0,8.0,8.78,garcon,,
neuf sans étiquette,cuir,jaune/orange,chaussures,10.0,15.0,16.38,garcon,,
neuf avec étiquette,fibres artificielles,blanc/beige,pantalons et leggings,14.0,28.0,30.1,garcon,,
très bon état,fibres naturelles végétales,vert,robes,6.0,8.0,8.78,garcon,,
neuf avec étiquette,cuir,motif/multicolore,chaussures,31.0,175.0,184.45,garcon,,
très bon état,autres,noir/gris,manteaux et vestes,18.0,24.0,26.03,garcon,,
très bon état,autres,marron,manteaux et vestes,27.0,30.0,32.2,garcon,,
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,51.0,15.0,16.38,garcon,,
neuf avec étiquette,cuir,blanc/beige,chaussures,37.0,39.0,41.65,garcon,,
très bon état,fibres naturelles végétales,blanc/beige,manteaux et vestes,27.0,12.0,13.12,garcon,,
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,21.0,10.0,11.2,garcon,,
très bon état,cuir,marron,blazers et tailleurs,20.0,100.0,107.35,garcon,,
neuf sans étiquette,fibres artificielles,motif/multicolore,robes,34.0,24.0,25.9,garcon,,
très bon état,fibres synthétiques,bleu,pantalons et leggings,11.0,7.0,7.7,garcon,,
bon état,fibres naturelles végétales,noir/gris,blazers et tailleurs,9.0,5.0,5.7,garcon,,
très bon état,cuir,noir/gris,chaussures,41.0,18.0,19.61,garcon,,
très bon état,fibres naturelles végétales,motif/multicolore,hauts et t-shirts,19.0,6.0,7.0,garcon,,
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,16.0,4.0,4.9,garcon,,
neuf sans étiquette,autres,motif/multicolore,combinaisons et combishorts,12.0,50.0,53.2,garcon,,
très bon état,fibres synthétiques,blanc/beige,pantalons et leggings,53.0,10.0,10.95,garcon,,
neuf sans étiquette,fibres naturelles végétales,marron,sweats et sweats à capuche,41.0,15.0,16.45,garcon,,
neuf sans étiquette,fibres naturelles animales,motif/multicolore,hauts et t-shirts,11.0,5.0,5.95,garcon,,
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,12.0,5.0,5.7,garcon,,
